,OrdereinstellungenAnzahl,GeschaefteAnzahl,GeschaefteKurswert,OrderloeschungenAnzahl,OrderaenderungenAnzahl,KurswertMedian,OrdereinstellungenWertMedian,MarketMakerAnzahl,ISIN,date
392,3,1,412.8,0,0,412.8,5000,1,CA09076N1096,2020-12-01
397,10,1,3700.0,0,0,3700.0,1,1,DE000LS6Q9P8,2020-12-01
399,6,1,23256.289,0,0,23256.289,17,1,DE0008474024,2020-12-01
400,97,14,47232.6,0,0,2852.0,3000,1,DE000LS8N580,2020-12-01
401,11,2,1516.61,0,0,925.4,25,1,US1924461023,2020-12-01
402,3,1,493.12,0,0,493.12,8,1,US0298991011,2020-12-01
404,43,10,197285.18,0,0,12855.0,16,1,LU0290355717,2020-12-01
405,2,1,5720.0,0,0,5720.0,200,1,US92552V1008,2020-12-01
406,19,9,54320.79,0,0,3992.5,275,1,IE00BYVQ9F29,2020-12-01
408,9,7,7787.08,0,0,292.32,5,1,LU1737652823,2020-12-01
409,37,9,25107.313,0,0,2788.4,4,1,LU0323578657,2020-12-01
411,4,1,9753.45,0,0,9753.45,210,1,US91913Y1001,2020-12-01
412,7,4,8495.5,0,0,1990.0,100,1,DE000LS8LQ60,2020-12-01
414,4,1,6300.0,0,0,6300.0,5000,1,DE000LS8N4X4,2020-12-01
415,47,2,5031.0,0,0,4680.0,92,1,DE000LS8HD61,2020-12-01
416,7,2,6789.6,0,0,3422.4,5520,1,DE000LS8M1B7,2020-12-01
417,24,8,35061.61,0,0,3610.6,2,1,DE000LS9L8X6,2020-12-01
418,6,3,10340.34,0,0,3762.32,8,1,DE000LS9JU67,2020-12-01
419,6,1,1030.0,0,0,1030.0,1,1,US2948216088,2020-12-01
420,1,1,263.66,0,0,263.66,5,1,LU1806495575,2020-12-01
421,91,6,18293.142,0,0,3750.512,59,1,IE00B60SX394,2020-12-01
422,1,1,1130.0,0,0,1130.0,100,1,DE000LS74PE9,2020-12-01
423,3,3,2766.0,0,0,1100.0,400,1,DE000LS77HM2,2020-12-01
424,1,1,378.87,0,0,378.87,1,1,DE000LS9FYK3,2020-12-01
